UID,Date,County,State,Lat,Long,temp,humidity,windspeed,New Cases,Cases
84001073,2020-03-01,Jefferson,Alabama,33.555547,-86.895063,12.5,44.47,28.8,0,0
84001073,2020-03-02,Jefferson,Alabama,33.555547,-86.895063,14.4,85.83,19.0,0,0
84001073,2020-03-03,Jefferson,Alabama,33.555547,-86.895063,18.8,82.4,24.0,0,0
84001073,2020-03-04,Jefferson,Alabama,33.555547,-86.895063,13.3,90.78,14.5,0,0
84001073,2020-03-05,Jefferson,Alabama,33.555547,-86.895063,11.1,89.99,19.4,0,0
84001073,2020-03-06,Jefferson,Alabama,33.555547,-86.895063,9.7,53.33,35.1,0,0
84001073,2020-03-07,Jefferson,Alabama,33.555547,-86.895063,7.6,50.41,15.3,0,0
84001073,2020-03-08,Jefferson,Alabama,33.555547,-86.895063,12.2,39.79,19.6,0,0
84001073,2020-03-09,Jefferson,Alabama,33.555547,-86.895063,15.7,54.68,24.6,0,0
84001073,2020-03-10,Jefferson,Alabama,33.555547,-86.895063,16.7,80.46,22.9,0,0
84001073,2020-03-11,Jefferson,Alabama,33.555547,-86.895063,17.9,87.64,16.5,0,0
84001073,2020-03-12,Jefferson,Alabama,33.555547,-86.895063,21.2,70.11,33.9,0,0
84001073,2020-03-13,Jefferson,Alabama,33.555547,-86.895063,18.5,84.94,20.7,2,2
84001073,2020-03-14,Jefferson,Alabama,33.555547,-86.895063,19.2,72.4,19.8,5,7
84001073,2020-03-15,Jefferson,Alabama,33.555547,-86.895063,16.5,85.92,18.4,6,13
84001073,2020-03-16,Jefferson,Alabama,33.555547,-86.895063,16.4,78.57,11.3,6,19
84001073,2020-03-17,Jefferson,Alabama,33.555547,-86.895063,19.9,76.34,11.0,3,22
84001073,2020-03-18,Jefferson,Alabama,33.555547,-86.895063,21.0,73.01,28.6,6,28
84001073,2020-03-19,Jefferson,Alabama,33.555547,-86.895063,22.6,72.1,27.4,11,39
84001073,2020-03-20,Jefferson,Alabama,33.555547,-86.895063,21.3,75.99,29.2,10,49
84001073,2020-03-21,Jefferson,Alabama,33.555547,-86.895063,14.7,83.6,19.4,19,68
84001073,2020-03-22,Jefferson,Alabama,33.555547,-86.895063,12.8,77.96,14.5,10,78
84001073,2020-03-23,Jefferson,Alabama,33.555547,-86.895063,18.4,90.71,22.9,7,85
84001073,2020-03-24,Jefferson,Alabama,33.555547,-86.895063,21.3,77.94,27.4,15,100
84001073,2020-03-25,Jefferson,Alabama,33.555547,-86.895063,18.9,75.95,22.8,41,141
84001073,2020-03-26,Jefferson,Alabama,33.555547,-86.895063,20.3,63.51,19.3,34,175
84001073,2020-03-27,Jefferson,Alabama,33.555547,-86.895063,23.5,65.51,20.5,8,183
84001073,2020-03-28,Jefferson,Alabama,33.555547,-86.895063,24.3,67.67,28.2,34,217
84001073,2020-03-29,Jefferson,Alabama,33.555547,-86.895063,21.5,57.19,25.9,31,248
84001073,2020-03-30,Jefferson,Alabama,33.555547,-86.895063,18.4,47.06,20.2,13,261
84001073,2020-03-31,Jefferson,Alabama,33.555547,-86.895063,13.2,71.57,24.6,25,286
84001073,2020-04-01,Jefferson,Alabama,33.555547,-86.895063,11.7,62.92,20.9,24,310
84001073,2020-04-02,Jefferson,Alabama,33.555547,-86.895063,13.9,53.02,16.6,29,339
84001073,2020-04-03,Jefferson,Alabama,33.555547,-86.895063,16.5,56.91,12.5,36,375
84001073,2020-04-04,Jefferson,Alabama,33.555547,-86.895063,18.7,59.12,13.8,28,403
84001073,2020-04-05,Jefferson,Alabama,33.555547,-86.895063,21.1,53.51,12.1,17,420
84001073,2020-04-06,Jefferson,Alabama,33.555547,-86.895063,21.4,58.69,14.0,21,441
84001073,2020-04-07,Jefferson,Alabama,33.555547,-86.895063,19.0,80.33,14.3,30,471
84001073,2020-04-08,Jefferson,Alabama,33.555547,-86.895063,21.8,87.67,15.1,28,499
84001073,2020-04-09,Jefferson,Alabama,33.555547,-86.895063,20.8,64.84,25.4,31,530
84001073,2020-04-10,Jefferson,Alabama,33.555547,-86.895063,13.1,40.29,30.4,35,565
84001073,2020-04-11,Jefferson,Alabama,33.555547,-86.895063,13.5,48.83,17.4,37,602
84001073,2020-04-12,Jefferson,Alabama,33.555547,-86.895063,18.0,72.9,37.7,3,605
84001073,2020-04-13,Jefferson,Alabama,33.555547,-86.895063,15.0,76.24,27.4,19,624
84001073,2020-04-14,Jefferson,Alabama,33.555547,-86.895063,11.7,64.14,24.0,4,628
84001073,2020-04-15,Jefferson,Alabama,33.555547,-86.895063,9.6,50.47,27.5,15,643
84001073,2020-04-16,Jefferson,Alabama,33.555547,-86.895063,12.1,54.24,15.9,6,649
84001073,2020-04-17,Jefferson,Alabama,33.555547,-86.895063,17.5,52.94,23.3,9,658
84001073,2020-04-18,Jefferson,Alabama,33.555547,-86.895063,15.5,71.06,23.0,30,688
84001073,2020-04-19,Jefferson,Alabama,33.555547,-86.895063,12.8,87.74,19.1,9,697
84001073,2020-04-20,Jefferson,Alabama,33.555547,-86.895063,17.1,70.23,20.8,13,710
84001073,2020-04-21,Jefferson,Alabama,33.555547,-86.895063,17.1,62.85,22.7,10,720
84001073,2020-04-22,Jefferson,Alabama,33.555547,-86.895063,14.3,65.82,13.7,50,770
84001073,2020-04-23,Jefferson,Alabama,33.555547,-86.895063,17.0,81.75,33.1,25,795
84001073,2020-04-24,Jefferson,Alabama,33.555547,-86.895063,18.1,71.51,15.4,21,816
84001073,2020-04-25,Jefferson,Alabama,33.555547,-86.895063,19.6,66.1,35.8,27,843
84001073,2020-04-26,Jefferson,Alabama,33.555547,-86.895063,15.4,54.87,34.2,10,853
84001073,2020-04-27,Jefferson,Alabama,33.555547,-86.895063,14.4,56.05,14.0,6,859
84001073,2020-04-28,Jefferson,Alabama,33.555547,-86.895063,19.3,49.43,22.0,22,881
84001073,2020-04-29,Jefferson,Alabama,33.555547,-86.895063,19.4,77.08,28.3,12,893
84001073,2020-04-30,Jefferson,Alabama,33.555547,-86.895063,15.7,58.75,27.8,18,911
84001073,2020-05-01,Jefferson,Alabama,33.555547,-86.895063,16.6,59.48,14.1,30,941
84001073,2020-05-02,Jefferson,Alabama,33.555547,-86.895063,20.4,58.7,17.3,20,961
84001073,2020-05-03,Jefferson,Alabama,33.555547,-86.895063,22.7,59.62,24.8,25,986
84001073,2020-05-04,Jefferson,Alabama,33.555547,-86.895063,23.7,67.29,17.1,14,1000
84001073,2020-05-05,Jefferson,Alabama,33.555547,-86.895063,22.3,76.48,24.3,30,1030
84001073,2020-05-06,Jefferson,Alabama,33.555547,-86.895063,16.6,60.17,33.9,25,1055
84001073,2020-05-07,Jefferson,Alabama,33.555547,-86.895063,13.6,58.29,18.8,17,1072
84001073,2020-05-08,Jefferson,Alabama,33.555547,-86.895063,14.3,75.79,22.2,28,1100
84001073,2020-05-09,Jefferson,Alabama,33.555547,-86.895063,12.1,54.81,27.4,15,1115
84001073,2020-05-10,Jefferson,Alabama,33.555547,-86.895063,14.6,54.09,18.6,11,1126
84001073,2020-05-11,Jefferson,Alabama,33.555547,-86.895063,15.1,49.01,20.9,10,1136
84001073,2020-05-12,Jefferson,Alabama,33.555547,-86.895063,17.3,49.09,14.9,30,1166
84001073,2020-05-13,Jefferson,Alabama,33.555547,-86.895063,21.3,50.94,14.1,48,1214
84001073,2020-05-14,Jefferson,Alabama,33.555547,-86.895063,24.0,53.98,22.8,31,1245
84001073,2020-05-15,Jefferson,Alabama,33.555547,-86.895063,24.4,55.57,22.1,47,1292
84001073,2020-05-16,Jefferson,Alabama,33.555547,-86.895063,24.6,57.3,17.5,54,1346
84001073,2020-05-17,Jefferson,Alabama,33.555547,-86.895063,23.2,71.76,18.6,19,1365
84001073,2020-05-18,Jefferson,Alabama,33.555547,-86.895063,22.8,78.54,20.2,18,1383
84001073,2020-05-19,Jefferson,Alabama,33.555547,-86.895063,19.0,72.32,15.8,28,1411
84001073,2020-05-20,Jefferson,Alabama,33.555547,-86.895063,19.3,71.1,12.3,38,1449
84001073,2020-05-21,Jefferson,Alabama,33.555547,-86.895063,20.6,70.12,13.8,40,1489
84001073,2020-05-22,Jefferson,Alabama,33.555547,-86.895063,23.8,75.21,23.7,68,1557
84001073,2020-05-23,Jefferson,Alabama,33.555547,-86.895063,23.3,79.25,29.5,39,1596
84001073,2020-05-24,Jefferson,Alabama,33.555547,-86.895063,25.0,68.23,15.2,35,1631
84001073,2020-05-25,Jefferson,Alabama,33.555547,-86.895063,26.2,61.49,20.1,17,1648
84001073,2020-05-26,Jefferson,Alabama,33.555547,-86.895063,21.9,84.52,19.1,27,1675
84001073,2020-05-27,Jefferson,Alabama,33.555547,-86.895063,20.9,88.01,15.0,20,1695
84001073,2020-05-28,Jefferson,Alabama,33.555547,-86.895063,22.9,74.82,18.6,43,1738
84001073,2020-05-29,Jefferson,Alabama,33.555547,-86.895063,23.8,72.66,14.4,45,1783
84001073,2020-05-30,Jefferson,Alabama,33.555547,-86.895063,23.6,69.05,21.1,48,1831
84001073,2020-05-31,Jefferson,Alabama,33.555547,-86.895063,22.7,60.37,21.0,31,1862
84001073,2020-06-01,Jefferson,Alabama,33.555547,-86.895063,24.1,55.14,16.4,29,1891
84001073,2020-06-02,Jefferson,Alabama,33.555547,-86.895063,26.4,62.17,16.6,19,1910
84001073,2020-06-03,Jefferson,Alabama,33.555547,-86.895063,25.2,76.49,21.4,17,1927
84001073,2020-06-04,Jefferson,Alabama,33.555547,-86.895063,25.6,73.15,18.4,26,1953
84001073,2020-06-05,Jefferson,Alabama,33.555547,-86.895063,25.6,74.9,22.1,55,2008
84001073,2020-06-06,Jefferson,Alabama,33.555547,-86.895063,25.9,75.3,12.4,56,2064
84001073,2020-06-07,Jefferson,Alabama,33.555547,-86.895063,26.4,71.97,19.5,35,2099
84001073,2020-06-08,Jefferson,Alabama,33.555547,-86.895063,26.1,80.08,23.6,55,2154
84001073,2020-06-09,Jefferson,Alabama,33.555547,-86.895063,25.8,82.98,27.5,57,2211
84001073,2020-06-10,Jefferson,Alabama,33.555547,-86.895063,27.8,72.03,32.4,62,2273
84001073,2020-06-11,Jefferson,Alabama,33.555547,-86.895063,23.0,63.4,21.0,90,2363
84001073,2020-06-12,Jefferson,Alabama,33.555547,-86.895063,23.4,59.21,24.4,72,2435
84001073,2020-06-13,Jefferson,Alabama,33.555547,-86.895063,25.0,55.32,15.6,74,2509
84001073,2020-06-14,Jefferson,Alabama,33.555547,-86.895063,25.9,53.46,14.9,78,2587
