County,State,Age.Percent 65 and Older,Income.Per Capita Income
Abbeville County,SC,22.4,22646
Acadia Parish,LA,15.8,23122
Accomack County,VA,24.6,26018
Ada County,ID,14.9,34919
Adair County,IA,23,30822
Adair County,KY,19.2,21196
Adair County,MO,15.1,22847
Adair County,OK,15.8,17026
Adams County,CO,10.7,30313
Adams County,IA,23.7,28440
Adams County,ID,29.9,28026
Adams County,IL,20.7,30343
Adams County,IN,15.9,23316
Adams County,MS,19.6,18386
Adams County,ND,28.5,33458
Adams County,NE,18.9,28729
Adams County,OH,18.5,22366
Adams County,PA,21.1,31590
Adams County,WA,11.3,20248
Adams County,WI,30.2,27241
Addison County,VT,20.7,34741
Aiken County,SC,19.9,28396
Aitkin County,MN,33.8,29275
Alachua County,FL,14.6,28646
Alamance County,NC,17.1,27312
Alameda County,CA,14.3,47314
Alamosa County,CO,13.9,22131
Albany County,NY,17.4,37635
Albany County,WY,12.2,29146
Albemarle County,VA,19.3,44799
Alcona County,MI,36.1,25636
Alcorn County,MS,18.8,23909
Aleutians East Borough,AK,10.5,33939
Aleutians West Census Area,AK,7.4,39647
Alexander County,IL,23.1,19519
Alexander County,NC,20.4,26688
Alexandria city,VA,11.3,62679
Alfalfa County,OK,20.3,27615
Alger County,MI,26.3,20851
Allamakee County,IA,23.5,27892
Allegan County,MI,17,29215
Allegany County,MD,20.6,23607
Allegany County,NY,19.6,24857
Alleghany County,NC,28,23267
Alleghany County,VA,25.5,27338
Allegheny County,PA,19.3,38709
Allen County,IN,14.9,29160
Allen County,KS,21,23734
Allen County,KY,18.1,22294
Allen County,OH,18.1,26761
Allen Parish,LA,15.2,20964
Allendale County,SC,20.9,16985
Alpena County,MI,23.9,25957
Alpine County,CA,26.4,36739
Amador County,CA,27.5,31987
Amelia County,VA,20.1,31688
Amherst County,VA,21.6,26712
Amite County,MS,24.1,21568
Anchorage Municipality,AK,11.7,41415
Anderson County,KS,21.5,24309
Anderson County,KY,16.3,27250
Anderson County,SC,18.3,27552
Anderson County,TN,20.3,28455
Anderson County,TX,15,17280
Andrew County,MO,19.4,29338
Andrews County,TX,9.8,30673
Androscoggin County,ME,18.2,28956
Angelina County,TX,16.6,23147
Anne Arundel County,MD,15,46629
Anoka County,MN,14.5,36978
Anson County,NC,19.3,21635
Antelope County,NE,24.1,26523
Antrim County,MI,28,31851
Apache County,AZ,15.8,15128
Appanoose County,IA,22.9,26012
Appling County,GA,17.7,21300
Appomattox County,VA,21.2,28586
Aransas County,TX,28.9,30863
Arapahoe County,CO,13.5,40443
Archer County,TX,19.6,34617
Archuleta County,CO,27.3,31629
Arenac County,MI,25.8,24328
Arkansas County,AR,20.3,26386
Arlington County,VA,11.1,71841
Armstrong County,PA,22.6,27715
Armstrong County,TX,24.9,31749
Aroostook County,ME,24.9,25477
Arthur County,NE,21.4,25906
Ascension Parish,LA,12.3,34168
Ashe County,NC,26.6,24814
Ashland County,OH,19.1,26017
Ashland County,WI,20.2,23946
Ashley County,AR,20.9,23391
Ashtabula County,OH,19.6,24265
Asotin County,WA,24,29695
Assumption Parish,LA,18.7,25752
Atascosa County,TX,14.9,23890
Atchison County,KS,17.6,24237
Atchison County,MO,26.2,31248
Athens County,OH,13.6,22040
Atkinson County,GA,14.5,20338
Atlantic County,NJ,18.6,33284
Atoka County,OK,20,20443
Attala County,MS,19.5,21276
Audrain County,MO,18.2,23024
Audubon County,IA,24.7,30344
Auglaize County,OH,18.9,31198
Augusta County,VA,21.9,30272
Aurora County,SD,20.7,37086
Austin County,TX,19.8,30219
Autauga County,AL,16,29819
Avery County,NC,22.9,21167
Avoyelles Parish,LA,17.3,22017
Baca County,CO,24.4,24061
Bacon County,GA,16.8,20326
Bailey County,TX,14.8,21945
Baker County,FL,14.1,24686
Baker County,GA,23.7,22525
Baker County,OR,26.5,28700
Baldwin County,AL,21,32626
Baldwin County,GA,16.5,21716
Ballard County,KY,21.9,25217
Baltimore County,MD,17.6,40105
Baltimore city,MD,13.6,31271
Bamberg County,SC,22.4,18479
Bandera County,TX,27.9,29561
Banks County,GA,17.7,21403
Banner County,NE,24,27552
Bannock County,ID,14.7,25076
Baraga County,MI,22.7,22920
Barber County,KS,23.1,27648
Barbour County,AL,19.7,18473
Barbour County,WV,20.7,22899
Barnes County,ND,23.2,35491
Barnstable County,MA,31.4,44505
Barnwell County,SC,18.9,20297
Barren County,KY,18,21869
Barron County,WI,22.6,29681
Barrow County,GA,12.7,25266
Barry County,MI,18.9,31760
Barry County,MO,21,25068
Bartholomew County,IN,16.5,31774
Barton County,KS,19.9,27495
Barton County,MO,21.2,26509
Bartow County,GA,14.4,26493
Bastrop County,TX,15.6,27773
Bates County,MO,19.6,27635
Bath County,KY,17,22238
Bath County,VA,28,27527
Baxter County,AR,31.1,26863
Bay County,FL,18.6,29290
Bay County,MI,21,27469
Bayfield County,WI,28.2,31825
Baylor County,TX,24.1,22987
Beadle County,SD,17.8,27655
Bear Lake County,ID,20.7,26378
Beaufort County,NC,24.6,27504
Beaufort County,SC,28,38946
Beauregard Parish,LA,15.9,26331
Beaver County,OK,19.8,24514
Beaver County,PA,22,31305
Beaver County,UT,14.1,23382
Beaverhead County,MT,22.3,28401
Becker County,MN,21.1,31729
Beckham County,OK,14.7,24480
Bedford County,PA,23.4,26078
Bedford County,TN,15.2,24864
Bedford County,VA,21.8,33678
Bee County,TX,12.6,18340
Belknap County,NH,22.8,37430
Bell County,KY,19.7,15501
Bell County,TX,11.2,26677
Belmont County,OH,21.4,27580
Beltrami County,MN,16.5,25418
Ben Hill County,GA,17.9,17774
Benewah County,ID,22.8,23255
Bennett County,SD,13.3,17793
Bennington County,VT,23.4,33789
Benson County,ND,14.4,21707
Bent County,CO,18.9,13930
Benton County,AR,13.6,34442
Benton County,IA,19,33301
Benton County,IN,18,25187
Benton County,MN,14.3,29831
Benton County,MO,31.2,24317
Benton County,MS,19,20643
Benton County,OR,16.8,33817
Benton County,TN,23.9,22636
Benton County,WA,15.4,32882
Benzie County,MI,27,29425
Bergen County,NJ,17.7,51214
Berkeley County,SC,14.2,29662
Berkeley County,WV,15,29994
Berks County,PA,17.6,31571
Berkshire County,MA,23.9,35616
Bernalillo County,NM,16.9,30734
Berrien County,GA,17.2,19547
Berrien County,MI,20.3,30864
Bertie County,NC,23.6,22947
Bethel Census Area,AK,7.9,19885
Bexar County,TX,12.4,27834
Bibb County,AL,16.7,20778
Bibb County,GA,16,25640
