UID,Date,County,State,Population,Lat,Long,temp,humidity,windspeed,New Deaths,Deaths,New Cases,Cases,Age-65,Income-PC
84001073,2020-03-01,Jefferson,AL,658573,33.555547,-86.895063,12.5,44.47,28.8,0,0,0,0,16.3,32098
84001073,2020-03-02,Jefferson,AL,658573,33.555547,-86.895063,14.4,85.83,19.0,0,0,0,0,16.3,32098
84001073,2020-03-03,Jefferson,AL,658573,33.555547,-86.895063,18.8,82.4,24.0,0,0,0,0,16.3,32098
84001073,2020-03-04,Jefferson,AL,658573,33.555547,-86.895063,13.3,90.78,14.5,0,0,0,0,16.3,32098
84001073,2020-03-05,Jefferson,AL,658573,33.555547,-86.895063,11.1,89.99,19.4,0,0,0,0,16.3,32098
84001073,2020-03-06,Jefferson,AL,658573,33.555547,-86.895063,9.7,53.33,35.1,0,0,0,0,16.3,32098
84001073,2020-03-07,Jefferson,AL,658573,33.555547,-86.895063,7.6,50.41,15.3,0,0,0,0,16.3,32098
84001073,2020-03-08,Jefferson,AL,658573,33.555547,-86.895063,12.2,39.79,19.6,0,0,0,0,16.3,32098
84001073,2020-03-09,Jefferson,AL,658573,33.555547,-86.895063,15.7,54.68,24.6,0,0,0,0,16.3,32098
84001073,2020-03-10,Jefferson,AL,658573,33.555547,-86.895063,16.7,80.46,22.9,0,0,0,0,16.3,32098
84001073,2020-03-11,Jefferson,AL,658573,33.555547,-86.895063,17.9,87.64,16.5,0,0,0,0,16.3,32098
84001073,2020-03-12,Jefferson,AL,658573,33.555547,-86.895063,21.2,70.11,33.9,0,0,0,0,16.3,32098
84001073,2020-03-13,Jefferson,AL,658573,33.555547,-86.895063,18.5,84.94,20.7,0,0,2,2,16.3,32098
84001073,2020-03-14,Jefferson,AL,658573,33.555547,-86.895063,19.2,72.4,19.8,0,0,5,7,16.3,32098
84001073,2020-03-15,Jefferson,AL,658573,33.555547,-86.895063,16.5,85.92,18.4,0,0,6,13,16.3,32098
84001073,2020-03-16,Jefferson,AL,658573,33.555547,-86.895063,16.4,78.57,11.3,0,0,6,19,16.3,32098
84001073,2020-03-17,Jefferson,AL,658573,33.555547,-86.895063,19.9,76.34,11.0,0,0,3,22,16.3,32098
84001073,2020-03-18,Jefferson,AL,658573,33.555547,-86.895063,21.0,73.01,28.6,0,0,6,28,16.3,32098
